1900,14.39
1901,14.51
1902,14.36
1903,14.09
1904,14.06
1905,14.08
1906,14.24
1907,13.81
1908,14.04
1909,14.03
1910,14.10
1911,13.99
1912,14.05
1913,14.20
1914,14.31
1915,14.47
1916,14.10
1917,13.93
1918,13.96
1919,14.16
1920,14.14
1921,14.42
1922,14.21
1923,14.18
1924,14.22
1925,14.34
1926,14.45
1927,14.30
1928,14.36
1929,13.96
1930,14.33
1931,14.42
1932,14.43
1933,14.08
1934,14.38
1935,14.29
1936,14.31
1937,14.48
1938,14.65
1939,14.59
1940,14.58
1941,14.54
1942,14.53
1943,14.60
1944,14.73
1945,14.44
1946,14.48
1947,14.56
1948,14.62
1949,14.41
1950,14.17
1951,14.43
1952,14.46
1953,14.64
1954,14.29
1955,14.33
1956,14.02
1957,14.38
1958,14.48
1959,14.42
1960,14.32
1961,14.51
1962,14.54
1963,14.61
1964,14.16
1965,14.27
1966,14.33
1967,14.41
1968,14.16
1969,14.21
1970,14.40
1971,14.35
1972,14.16
1973,14.57
1974,14.08
1975,14.38
1976,14.01
1977,14.49
1978,14.28
1979,14.46
1980,14.67
1981,14.86
1982,14.30
1983,14.68
1984,14.34
1985,14.27
1986,14.52
1987,14.70
1988,14.89
1989,14.62
1990,14.96
1991,14.84
1992,14.47
1993,14.52
1994,14.73
1995,15.03
1996,14.74
1997,14.87
1998,15.17
1999,14.98
2000,14.90
2001,15.16
2002,15.31
2003,15.25
2004,15.02
2005,15.35
2006,15.26
2007,15.53
2008,15.19
2009,15.27
2010,15.45
2011,15.28
2012,15.33
2013,15.37
2014,15.31
2015,15.57
